Scientific Name,Family ,Local Name,Disease used on ,Parts used,Preparation and Administration,Quality of Dosage ,Administration Frequency,Experienced adverse or side effects,Literature taken from,Page where the data can be found on the literature
Ananas comosus,,Pinya,Relief from tonsillitis,Young fruit,Eat the young fruit in raw,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 4
Canarium Luzonicum,,Salong-lonay,"
To the outcast bad spirit",Latex,"Burn the latex in glowing charcoal with myrrh and
sauna “toob”",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Canarium sp.,,Bintoko,"
Prevents flatulence",Leaves,"Squeeze young leaves in the water used for bathing for infants and mothers after
giving birth",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Canarium sp.,,Bintoko,"Prevents flatulence for
pregnant women",Stem,"Scrape the stem and apply
to the womb overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
"Canna generalis/
L.H. Bailey",,Saging-saging,"Treats boils, wounds, and abscess",Stem,"Pound it thoroughly and
then apply around the affected area as a poultice",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Carica papaya,,Kapayas,Treats tonsillitis,Young fruit,Eat the young in raw,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Carica papaya,,Kapayas,Treats tonsillitis,Young fruit,Eat the young in raw,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Drymaria cordata,,Kunay-kunay,Soothing infants from teething,Whole plant,"Wash the plant thoroughly, soak in freshwater and drink
three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Atuna racemosa Raf.,,Tabon-tabon,"

Treats ulcer",Young fruit,"Scrape the meat, extract the juice and then drink at least two teaspoonfuls before
breakfast",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Quisqualis indica L.,,Awoy,Treats flatulence (panuhot),Leaves,"Boil the leaves with water
and then drink it. Usually used instead of water",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Rhoe discolor,,Bangka-bangkaan,Treats cough,Leaves,Decoction of leaves,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Ipomoea batatas,,Kamoteng Balagon,"

Treats anemia",Leaves,"Wash the leaves and then steam in a pot. Drink the produced juice and eat the cooked leaves without a
mix",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
"Kalanchoe
pinnata",,Handilika,"Treats abscess and
toothache",Leaves,"Pound the leaves and apply
to the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
"Momordia
charantia Linn.",,Paleya,Treats diabetes,Fruit,Eat the fruit raw,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 5
Kyllinga monocephala,,Busikad,"
Relief from cough and fever especially for teething infants",Whole plant,"Wash the plant thoroughly, soak in freshwater and drink three times a day (Usually mixed with Tropical
Chickweed)",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Jatropha gossypifolia,,Kaslang limbahon,"
Relief of over fatigue for women “timughat”",Seeds,"Roast the seeds and pound thoroughly then mixed with tobacco ash and then apply
to all the joints",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Jatropha gossypifolia,,Kaslang limbahon,Relief from flatulence,Stem,"Scrape, then partly roast and
then rub on the body",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Jatropha curcas,,Kaslang Puti,"Treats flatulence and
over fatigue for women",Stem,"Scrape the stem and then
apply overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
"Ricinus communis
Linn",,Tangan-tangan,Treats flatulence,Stem,"Scrape the stem, partly roast
and then apply overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Manihot esculenta,,Kamanting-kahoy,Relief of fever and headache,Leaves,Wrap around the forehead with fresh leaves,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Phyllanthus niruri,,Tulog-tulog,Treats flatulence,Leaves,"Partly roast the leaves and then rub it all over the body (usually mixed with other herbal plants like guava
leaves)",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Euphorbia hirta,,Tawa-tawa,Relief of dengue fever,Whole plant,"Boil with water and drink
now and then",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Euphorbia neriifalia,,Soro-soro,"Relief from joint inflammation and
beriberi",Stem,"Scrape the stem and then rub it fresh on the affected
area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
"Macaranga
bicolor",,Hanonom-o,Treats Flatulence,"Roots and
stem","Scrape the stem and roots
and then apply overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Myristica philippinensis,,Duguan,Treats high blood pressure,Stem and branches,"A decoction of the chopped
stem and then drink it three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Erythrina orientalis,,Dap-dap,"Treats muscle pain, boils, and cysts",Roots and stem,"Scrape the roots and stem, partly roast them and then
apply to the affected part",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Gliricidia sepium,,Madre de Cacao,"
Treats skin itches (kurikong)",Leaves,"Partly roast the leaves, pound it, extract the juice, and then rub it on the itchy
part",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Derris elliptica,,Tubli,"Treats stitch and avoids
bad spirit (giuray)",Roots,"Scrape the roots and then
apply",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
"Caesalpina
sappan Linn.",,Sibukaw,"Treats high blood and
anti-cancer",Stem,"A decoction of stem and
bark",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
Garcinia mangostana,,Mangosteen,Treats stomach ache and diarrhea,Leaves,Boil the leaves and then drink a glass of it,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 6
"Ocimum
basilicum",,Humutan,Treats chickenpox,Leaves,"Pound the leaves and then
rub t on o the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Coleus aromaticus,,Kalabo,Treats cough,Leaves,"Soak in freshwater and then drink once a day or steam three times, extract the
juice, and drink.",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Premna odorata Blanco,,Agbaw,To prevent flatulence for infants,Leaves,"Dissolve the young leaves
in the water, used for bathing",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Coleus scutellarioides
Blume",,Manyana,Treats wounds,Leaves,Pound and then squeeze the juice to the wound,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Cajanus cajan
Linn.",,Kadyos,"Treats inflammation of
the legs (panghupong)",Leaves,"Boil it with water and then
use it for bathing",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Mimosa pudica,,Hibi-hibi,Relief of toothache,Roots,"Wash the roots, pound thoroughly and then apply it in between or on the hole of
the teeth that is aching",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Family/
Scientific Name",,"Local/ Subanen
Name",Medicinal Uses,"Plant Part
Used","Preparation and Mode of
Application",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Adenanthera pavonina,,Bahay,"Protection from the
venom from insect and animal bites",Seeds,"Roast, peel, pound
thoroughly and then apply to the bitten part",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Cassia alata,,Asunting,"
Treats acne and ringworm",Leaves,"Pound the leaves, mix with a pinch of salt, roast partly, and then rub thoroughly on
the affected area twice a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Cassia occidentalis,,Santo. Domingo,"
Treats stomach ache",Roots,"Drink one glass of the decoction of roots twice a
day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Flemingia strobilifera,,Hagupit/Tulay-tulay,Relief from over fatigue for women,Roots,"Drink one glass of the
decoction of roots instead of water",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Persea Americana,,Abokado,"

Treats diarrhea",Leaves,"Boil the leaves usually mixed with leaves of guava and star apple and then
drink a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Cinnamomum
zeylanicum",,Hantotoknaw,"Treats over fatigue for
women",Roots,"A decoction of roots and
drink it three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Lagerstroemia
speciosa",,Banaba,"Treats diarrhea and
kidney infection",Leaves,"Boil with water and drink
three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Lagerstroemia
speciosa",,Banaba,"Treats diarrhea and
kidney infection",Leaves,"Boil with water and drink
three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
"Abelmoschus
moschatus",,Alikway,Relief of headache,Leaves,"Pound and then wrap to the
forehead",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Theobroma cacao,,Kakaw,Relief from boils and swelling wound,Fruit,"Scrape the peeling of the fruit and apply around the
boils or wound as a poultice",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 7
Sida acuta,,Escobang miyawes,Treats skin irritation,Leaves,"Pound and rub on the
affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Abelmoschus
esculentus",,Okra,Treats diabetes,Young fruit,"Soak the young fruit in
water and drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Hibiscus rosa- sinensis,,Antuwanga,Relief from the swelling wound,Flower,"Pound the flower and apply
around the affected area as a poultice",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Hibiscus tiliaceus,,Balibago,"
Treats sprain “lisa”",Bark,"Scrape the bark, pound it thoroughly, partly roast and
then rub on the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Family/
Scientific Name",,"Local/ Subanen
Name",Medicinal Uses,"Plant Part
Used","Preparation and Mode of
Application",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Melia dubia,,Bagalnga,"

Treats skin allergies",Leaves,"Pound the leaves, extract the juice, mix with little kerosene, and apply to the
affected area.",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Swietenia
macrophylla",,Mahogany,"Treats stomach ache
and diarrhea",Seeds,"Boil the seeds and drink the
juice twice a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Sandoricum
koetjape",,Santol,Cures diarrhea,Roots,"A decoction of roots and
then drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Tinospora rumphii,,Panyawan,Treats Highblood and diabetes,Vine,"A decoction of the vine and then drink it three times a
day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Tinospora rumphii,,Panyawan,"
Treats toothache",Latex,"Drop the latex at least twice
to the opposite of the teeth that are aching",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Ficus septic,,Lagnob,Treats stomach ache,Leaves,"Boil with water then drink
twice a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Ficus septic,,Lagnob,relief from flatulence,Stem,"Scrape the stem and then
apply it overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Poikilospermum suaveolens
(Blume) Merr.",,Hanopol-tubig,"Treats muscle and body pain caused by
flatulence",Leaves,"Partly roast the leaves and then apply to the affected
area “haklop”",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
"Artocarpus
heterophyllus",,Nangka,Treats constipation,Leaves,"A decoction of leaves and
then drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Ficus sp.,,Balete,Treats sprain and fractures,Bark,"Put the bark between the
fractures, tie it with a cloth and leave it until dries",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Moringa oleifera,,Kamonggay,"
Treats diarrhea",Roots and seeds,"A decoction of roots and/or
seeds and then drink three times day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Moringa oleifera,,Kamonggay,"Prevents bulging of the
skin due to hard impact",Leaves,"Pound the leaves and rub it
on the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 8
Musa sapientum,,Saging,Relief of overfatigue for women,Palm,"Roast the palm, pound,
extract the juice and use it as oil in massaging the body",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Musa sapientum,,Saging,Prevent bleeding,Dried leaves,"Pound and press the juicy
sap to the wound",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Musa textilis,,Abaka,"

Treats overfatigue of women",Palm,"Roast the palm, pound, extract the juice and massage it on the body from head to toe.
Usually used with banana
and buri",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Syzygium aquieum,,Tambis,Treats stomach ache and diarrhea,Leaves,"A decoction of the leaves
and then drink instead of water",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Psidium guajava Linn.,,Bayabas,"
Used to avert bleeding","Newly sprouted
leaves",Pound the leaves and rub it on the wound,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Psidium guajava Linn.,,Bayabas,"Prevent infection from open wound most specifically newly-
circumcised kids",Young leaves,Boil with water and use the juice to clean the wound,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Psidium guajava Linn.,,Bayabas,Treats stomach ache and diarrhea,Young leaves,"Boil with water and drink it three times a day (usually mixed with avocado and
star apple leaves)",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Psidium guajava Linn.,,Bayabas,Treats flatulence,Young leaves,"Partly roast and apply
overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Abutilon indicum,,Marbas,Treats flatulence,Leaves,Partly roast and apply,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Syzygium
jambolanum",,Lumboy,Treats ulcer,Bark,"A decoction of the bark and
drink it three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Averrhoa
carambola Linn.",,Balimbing,Treats chicken pox,Leaves,"Pound the leaves and rub on
the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Pandanus
odoratissimus",,Pandang humotan,Treats arthritis,Leaves,Boil the leaves and drink,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Peperomia
pellucid",,Sinaw-sinaw,Treats kidney infection,Whole plant,"Boil and drink at least once
a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
Piper sp.,,Buyo,"
Treats flatulence",Leaves,"Apply the leaves upside down to the breast and back
overnight",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Pittosporum
pentandrum",,Hagbuyo,"To avoid flatulence for
pregnant women",Leaves,"Partly roast and apply every
night",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 9
"Family/
Scientific Name",,"Local/ Subanen
Name",Medicinal Uses,"Plant Part
Used","Preparation and Mode of
Application",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Andropogon
aciculatus",,Amorseko,Treats diarrhea,Roots,Boil the roots and drink,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Andropogon
aciculatus",,Amorseko,"To avoid bulging of
insect bites and stings",Flower stalk,"Extract the juice and drop to
the bitten area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Eleusine indica,,Bila-bila,Treats hypertension,Whole plant,"Wash thoroughly and soak
in freshwater and then drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Imperata cylindrical,,Kogon,"
Treats high blood",Rhizome,"Wash thoroughly and boil with water and then drink it
three times a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Cymbopogon
citrates",,Tanglad,"
Treats high blood","Roots and
stem","Wash thoroughly and boil
with water and then drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Cynodon dactylon,,Bermuda,"
Treats high blood",Roots,Boil with water and drink,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Pennisetun
purpureum",,Data,"Treats over fatigue for
women after delivery",Leaves,"Boil with water and drink at
least two glasses a day",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Saccharum officinarum,,Tubo,"

Treats Hepatitis A",Stem,"Roast the stem and then squeeze the juice, then add with one teaspoonful of oil
and then drink",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Bambusa spinosa,,Kawayang tonukon,"Treats high blood
pressure",Dried Leaves,"A decoction of leaves and
drink it instead of water",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Morinda citrifolia Linn.,,Bangkoro,Treats gas pain and constipation,Leaves,"Apply overnight usually mixed with leaves of guava
and wild tea",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Triphasia trifolia,,Lemonsito,"
Treats dry cough and lower cholesterol level",Fruit,"Roast and then eat without any mix, or extract the juice and then drink it. It is also
eaten fresh.",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Citrus maximus,,Boongon,"Prevents illnesses and diseases for infants usually mixed with leaves of Blumea
camphor",Newly sprouted leaves,Mixed in water used for taking a bath,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Chrysophyllum
cainito",,Caimito,Treats diarrhea,Leaves,Boil with water and drink,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Scoparia dulcis,,Wachichaw,Treats diabetes,Leaves,Boil with water and drink,,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Nicotiana tabacum,,Tabako,Treats gas pain or flatulence,Leaves,"Roll the leaves and then use
it as cigarette and blew the smoke to the womb",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
Trema orientalis,,Hinagdong,Treats sprain,Bark,"Roast, pound and then apply to the affected area",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 10
"Hydrocotyle
vulgaris",,Gotocola,Treats diabetes,Leaves,"Wash thoroughly and then
eat it in raw",,,,"ETHNOMEDICINAL PLANTS USED BY THE SUBANEN TRIBE IN
TWO VILLAGES IN OZAMIS CITY, MINDANAO, PHILIPPINES",Page: 11
